,group,gene,expression_proportion,average_expression
95,natural killer cell,LILRA4,0.0006854009595613434,0.0040117106
155,plasmacytoid dendritic cell,LILRA4,0.4351145038167939,2.788643
55,monocyte,LILRA4,0.010141241046924158,0.063206464
135,alpha-beta T cell,LILRA4,0.0,0.0
56,monocyte,PPBP,0.022993506928174576,0.15323712
136,alpha-beta T cell,PPBP,0.0027472527472527475,0.019588701
176,platelet,PPBP,0.6779661016949152,4.7949977
36,"CD8-positive, alpha-beta T cell",PPBP,0.00425418771603297,0.02822813
116,dendritic cell,PPBP,0.01718213058419244,0.1097123
76,B cell,PPBP,0.008021913519859127,0.053691853
96,natural killer cell,PPBP,0.007196710075394105,0.04632286
196,plasmablast,PPBP,0.007142857142857143,0.044679333
156,plasmacytoid dendritic cell,PPBP,0.007633587786259542,0.045508686
16,"CD4-positive, alpha-beta T cell",PPBP,0.0032100016894745734,0.021641552
77,B cell,PF4,0.002347877127763647,0.015567855
177,platelet,PF4,0.6271186440677966,4.3476553
97,natural killer cell,PF4,0.00411240575736806,0.026291374
197,plasmablast,PF4,0.007142857142857143,0.044679333
117,dendritic cell,PF4,0.010309278350515464,0.064823404
57,monocyte,PF4,0.009873485507731442,0.06500151
157,plasmacytoid dendritic cell,PF4,0.0,0.0
137,alpha-beta T cell,PF4,0.0009157509157509158,0.0068971585
37,"CD8-positive, alpha-beta T cell",PF4,0.0009306035628822122,0.005828711
17,"CD4-positive, alpha-beta T cell",PF4,0.0020273694880892043,0.01339516
18,"CD4-positive, alpha-beta T cell",FCN1,0.10508531846595709,0.69206655
118,dendritic cell,FCN1,0.5876288659793815,3.6321354
58,monocyte,FCN1,0.9138161858223443,6.2247553
178,platelet,FCN1,0.4152542372881356,2.7343662
158,plasmacytoid dendritic cell,FCN1,0.17557251908396945,1.1688055
78,B cell,FCN1,0.11113285071414596,0.74101126
198,plasmablast,FCN1,0.17142857142857143,1.1092246
98,natural killer cell,FCN1,0.14564770390678547,0.9428701
38,"CD8-positive, alpha-beta T cell",FCN1,0.11539484179739432,0.75044477
138,alpha-beta T cell,FCN1,0.10714285714285714,0.76438963
99,natural killer cell,CD14,0.0822481151473612,0.5261547
159,plasmacytoid dendritic cell,CD14,0.08396946564885496,0.54008937
139,alpha-beta T cell,CD14,0.04487179487179487,0.31447008
119,dendritic cell,CD14,0.24742268041237114,1.4870609
79,B cell,CD14,0.055762081784386616,0.3679308
59,monocyte,CD14,0.7563424593346275,5.0647707
39,"CD8-positive, alpha-beta T cell",CD14,0.062084551980856155,0.40068656
19,"CD4-positive, alpha-beta T cell",CD14,0.05338739651968238,0.35213792
179,platelet,CD14,0.3389830508474576,2.1892073
199,plasmablast,CD14,0.05714285714285714,0.3473793
